2022-03-02 14:20:25,624 root  WARNING   [!] Starting emulation.
2022-03-02 14:21:54,903 root  DEBUG     [*] 66/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/6ffb2eac0a0a553abb524c78b6ce13d75eeaf32905c9bcb90663762dbdee1a3f ...
2022-03-02 14:21:56,750 root  DEBUG     [+] Finished emulation, took: 0.59s, API calls acquired: 501

2022-03-02 14:21:56,750 root  DEBUG     [*] 67/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/98be14cacda5e53887a4a46e856b71ba538901cd4054112d49cb3f2251a40bbe ...
2022-03-02 14:21:58,947 root  DEBUG     [+] Finished emulation, took: 2.13s, API calls acquired: 501

2022-03-02 14:21:58,947 root  DEBUG     [*] 68/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/6a03e8e252e23305d75db4108cc582338eab92692c96b1aa1e72e25e6bdb8f1a ...
2022-03-02 14:21:59,662 root  DEBUG     [+] Finished emulation, took: 0.62s, API calls acquired: 499

2022-03-02 14:21:59,662 root  DEBUG     [*] 69/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/7b28a61d0ece60d8c9fdc968a21558cd37cbbec989734e3c0ada22f10384df5f ...
2022-03-02 14:22:00,573 root  DEBUG     [+] Finished emulation, took: 0.68s, API calls acquired: 501

2022-03-02 14:22:00,573 root  DEBUG     [*] 70/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/ffac480d881588021eccf4024ff61ccfded7b6b0c890d64c1278ec5c6da27606 ...
2022-03-02 14:22:01,301 root  DEBUG     [+] Finished emulation, took: 0.63s, API calls acquired: 367

2022-03-02 14:22:01,301 root  DEBUG     [*] 71/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/cd50fdd5d0c600af6f15c987c66884df1ed5b8542d3f1e86d94a385902e4d8b7 ...
2022-03-02 14:23:01,665 root  DEBUG     [+] Finished emulation, took: 60.23s, API calls acquired: 20

2022-03-02 14:23:01,665 root  DEBUG     [*] 72/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/b4dda6eb902b91b8ec9b2308ff23539252d4afb035313ea6c5753f738d1cd39c ...
2022-03-02 14:23:02,990 root  DEBUG     [+] Finished emulation, took: 1.25s, API calls acquired: 150

2022-03-02 14:23:02,990 root  DEBUG     [*] 73/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/3d8c5277d3aaa4a11434caf26b4ba154cb9feb23220321ca34fa272f8aad83aa ...
2022-03-02 14:23:04,007 root  DEBUG     [+] Finished emulation, took: 0.69s, API calls acquired: 499

2022-03-02 14:23:04,007 root  DEBUG     [*] 74/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/6ebe70f301ddf7df2bc831de32172854add19fddbd96599a6ae79bc618785221 ...
2022-03-02 14:23:04,743 root  DEBUG     [+] Finished emulation, took: 0.58s, API calls acquired: 501

2022-03-02 14:23:04,743 root  DEBUG     [*] 75/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/452d4a0d051db6340d244717165edacee5f05bb85bede45e015e939122f41b57 ...
2022-03-02 14:23:05,426 root  DEBUG     [+] Finished emulation, took: 0.59s, API calls acquired: 337

2022-03-02 14:23:05,426 root  DEBUG     [*] 76/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/ceba94b8c816f90a37f9d9d9e9fc57953f66eb20301c2bac00bdbc2c8cadd58c ...
2022-03-02 14:23:07,889 root  DEBUG     [+] Finished emulation, took: 2.41s, API calls acquired: 501

2022-03-02 14:23:07,889 root  DEBUG     [*] 77/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/55e0c5f586c67325cbfd3b8a93cab978b6e10ac051781ecc903076a0c2bd73a8 ...
2022-03-02 14:23:10,015 root  DEBUG     [+] Finished emulation, took: 2.07s, API calls acquired: 156

2022-03-02 14:23:10,015 root  DEBUG     [*] 78/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/6672ef785d4f39806dd375542d2b1e6d7b66e7fb4364ee8b2a324fc8fd486b34 ...
2022-03-02 14:23:12,251 root  DEBUG     [+] Finished emulation, took: 2.17s, API calls acquired: 501

2022-03-02 14:23:12,251 root  DEBUG     [*] 79/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/5d6631c31293de9f4bbc439b0e45b010a1465f23afd9b8972b1480a266b0b482 ...
2022-03-02 14:23:13,057 root  DEBUG     [+] Finished emulation, took: 0.74s, API calls acquired: 397

2022-03-02 14:23:13,057 root  DEBUG     [*] 80/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/38a554f28f09e0f458e77d291fd393682d94b6562d0b43ce7343f475ed9e4688 ...
2022-03-02 14:23:15,703 root  DEBUG     [+] Finished emulation, took: 2.49s, API calls acquired: 1058

2022-03-02 14:23:15,703 root  DEBUG     [*] 81/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/aa56c5831b8a0cc394139a04df543025b3d85eca9890b7e1a82b725a478d27a3 ...
2022-03-02 14:23:16,538 root  DEBUG     [+] Finished emulation, took: 0.73s, API calls acquired: 337

2022-03-02 14:23:16,538 root  DEBUG     [*] 82/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/09ed28d830152919552eca75c622b0a17c218a60ef4a2ea2ecc53f92a45b6ff1 ...
2022-03-02 14:23:17,338 root  DEBUG     [+] Finished emulation, took: 0.58s, API calls acquired: 501

2022-03-02 14:23:17,339 root  DEBUG     [*] 83/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/343ff2f60a99b4f77d05f4807cc5aa3fe165f261ddc747c056bf17444910eb9b ...
2022-03-02 14:23:18,074 root  DEBUG     [+] Finished emulation, took: 0.58s, API calls acquired: 501

