2022-03-02 14:20:47,860 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 1

2022-03-02 14:20:47,860 root  DEBUG     [*] 33/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/77490eff1374899de888543e4f30e408e1d58fab7bc2b672006a777a4b350ec3 ...
2022-03-02 14:20:48,137 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:48,137 root  DEBUG     [+] Finished emulation, took: 0.23s, API calls acquired: 1

2022-03-02 14:20:48,137 root  DEBUG     [*] 34/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/ee03404338782ae2a0dd0ea05fb232ca0a865dec159cc7fdbe37597c90017d0c ...
2022-03-02 14:20:48,506 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:48,506 root  DEBUG     [+] Finished emulation, took: 0.32s, API calls acquired: 1

2022-03-02 14:20:48,506 root  DEBUG     [*] 35/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/de7e8f82848f43cd132f65f981b2d558b66440da8fc42faf5577f8e99456d7fb ...
2022-03-02 14:20:48,808 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:48,808 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 1

2022-03-02 14:20:48,808 root  DEBUG     [*] 36/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/3d9aeace28db120da151b5c8a783d7eb89ae65caae0b41e2e1da2bb85ac04605 ...
2022-03-02 14:20:51,065 root  DEBUG     [+] Finished emulation, took: 0.37s, API calls acquired: 141

2022-03-02 14:20:51,065 root  DEBUG     [*] 37/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/69b7da1a145ff1df14df700ba41134c562267cc44ab9365f50b18a52f45dc030 ...
2022-03-02 14:20:51,373 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:51,374 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 1

2022-03-02 14:20:51,374 root  DEBUG     [*] 38/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/a437e11bb7b368118612ba70c5f0fd20316754934f2e60de62cdf66602b219b6 ...
2022-03-02 14:20:51,773 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_write']; APIs: [{'pc': '0x401392', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x409eec'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:51,773 root  DEBUG     [+] Finished emulation, took: 0.30s, API calls acquired: 1

2022-03-02 14:20:51,773 root  DEBUG     [*] 39/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/32ee390c6863e052b5da7f2e1a1dbd7ebbedea387a423b71253f2a544c52e9e7 ...
2022-03-02 14:20:52,082 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:52,082 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 1

2022-03-02 14:20:52,082 root  DEBUG     [*] 40/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/6123539c7efb68d7ff3fbcca3b96c5e7419f86768ca04ae0e2efbe61dfb55cc8 ...
2022-03-02 14:20:52,420 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 2

2022-03-02 14:20:52,420 root  DEBUG     [*] 41/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/7255677760901a27d82b0681ddfea7dc8309d6db29cfc6e89b926c44107a61b1 ...
2022-03-02 14:20:52,780 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:52,780 root  DEBUG     [+] Finished emulation, took: 0.32s, API calls acquired: 1

2022-03-02 14:20:52,780 root  DEBUG     [*] 42/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/9bccd53749be5711f668b9e356e241432b6ecac1ce1561f14a02ff059181f20f ...
2022-03-02 14:20:53,119 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:53,119 root  DEBUG     [+] Finished emulation, took: 0.29s, API calls acquired: 1

2022-03-02 14:20:53,119 root  DEBUG     [*] 43/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/54fc712a75b52c731f34a2c85f4dfdd581174391e4179c5dbd6c80af8d5bdde7 ...
2022-03-02 14:20:53,472 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:53,473 root  DEBUG     [+] Finished emulation, took: 0.30s, API calls acquired: 1

2022-03-02 14:20:53,473 root  DEBUG     [*] 44/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/5c70e418801b56924161378643c6171ba11ada0cc0febb01aa98157bf352258b ...
2022-03-02 14:20:53,789 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:53,789 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 1

2022-03-02 14:20:53,789 root  DEBUG     [*] 45/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/00dbb6999e179f5e6502e6ac13cf8e97a947736bb188cc22995ae5d5cba47c27 ...
2022-03-02 14:20:54,076 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:54,077 root  DEBUG     [+] Finished emulation, took: 0.24s, API calls acquired: 1

2022-03-02 14:20:54,077 root  DEBUG     [*] 46/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/fb483a3f3ccd68f266c89b13bdbe0b8b9e2dde7ba7b5410d0ea07611545cd8e2 ...
2022-03-02 14:20:55,384 root  DEBUG     [+] Finished emulation, took: 0.44s, API calls acquired: 225

2022-03-02 14:20:55,384 root  DEBUG     [*] 47/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/26fa116bf7802338cb34518a62a1e8eb9530eb0852389dbab42cb878f714c529 ...
2022-03-02 14:20:55,697 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:55,697 root  DEBUG     [+] Finished emulation, took: 0.27s, API calls acquired: 1

2022-03-02 14:20:55,697 root  DEBUG     [*] 48/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/6a04a8a7217643908137aeb44ef0578c4667116728d27a19c73c2defec49aabf ...
2022-03-02 14:20:56,031 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:56,032 root  DEBUG     [+] Finished emulation, took: 0.29s, API calls acquired: 1

2022-03-02 14:20:56,032 root  DEBUG     [*] 49/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/dee8c45cbf0fb3168779f6d298c021cf9b2cdf2bb2b873606fbd083d0f956958 ...
2022-03-02 14:20:56,324 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:56,324 root  DEBUG     [+] Finished emulation, took: 0.24s, API calls acquired: 1

2022-03-02 14:20:56,324 root  DEBUG     [*] 50/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/78d931a2b1fec6b5969268cecf61e8c6eed7ee00f1818faae6d2f269526c9b40 ...
2022-03-02 14:20:56,622 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:56,622 root  DEBUG     [+] Finished emulation, took: 0.24s, API calls acquired: 1

2022-03-02 14:20:56,622 root  DEBUG     [*] 51/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/09cdcf1637c0092390e9c5ed27c53a9fd7bb70887405799619fd5c3fa434d65a ...
2022-03-02 14:20:56,749 root  ERROR     [-] Failed emulation, NotSupportedError: /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/09cdcf1637c0092390e9c5ed27c53a9fd7bb70887405799619fd5c3fa434d65a
.NET assemblies are not currently supported

2022-03-02 14:20:56,750 root  DEBUG     [*] 52/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/519aa5e1bfcba9725c17f838c70737bc8885466f306d95c34a0539a2a05bbad4 ...
2022-03-02 14:20:57,053 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
